time,Power
2014-10-20,1603.3875396957
2014-10-21,2709.867432294
2014-10-22,2605.1778657729
2014-10-23,2601.7826190345
2014-10-24,2352.6638091792
2014-10-25,2413.3075830369003
2014-10-26,2015.1954283725001
2014-10-27,2286.1165014171
2014-10-28,1786.4580599217
2014-10-29,2078.9522818812
2014-10-30,2540.4592212945
2014-10-31,2565.925920261
2014-11-01,2458.7598569886004
2014-11-02,2513.5796481741
2014-11-03,2031.40504908
2014-11-04,1696.7334980772
2014-11-05,2368.2063313557
2014-11-06,2189.4963277572
2014-11-07,1885.6041344514001
2014-11-08,2577.206025108
2014-11-09,2795.3144324127
2014-11-10,2807.2597505139
2014-11-11,2684.6242886925
2014-11-12,2573.6046253335003
2014-11-13,2530.3111687557002
2014-11-14,2620.6672838445
2014-11-15,2586.8946212505
2014-11-16,2238.7342110606
2014-11-17,2389.7384596008
2014-11-18,2374.8109264341
2014-11-19,2380.9832694252
2014-11-20,2212.4743370928004
2014-11-21,2227.0964824251
2014-11-22,2040.6655001898
2014-11-23,2179.8210358188
2014-11-24,2293.4031236919
2014-11-25,2319.9605171424
2014-11-26,2124.4180576905
2014-11-27,1999.1560931793001
2014-11-28,1854.5964882687
2014-11-29,2145.1649875326
2014-11-30,2077.6674993921
2014-12-01,2061.9884660562
2014-12-02,2074.0129351821
2014-12-03,2034.0331543422
2014-12-04,1795.6065239343
2014-12-05,2030.45296905
2014-12-06,2229.5851963407003
2014-12-07,2139.9209528994
2014-12-08,2213.587265472
2014-12-09,1978.4474138087999
2014-12-10,2306.7259948854003
2014-12-11,1989.4407430293002
2014-12-12,2108.5130969298
2014-12-13,2071.4528227238998
2014-12-14,1917.2698722639002
2014-12-15,1891.8608573007
2014-12-16,1634.8985070858
2014-12-17,1936.6987568742002
2014-12-18,1326.5384359095
2014-12-19,1287.5569204608
2014-12-20,1006.6575353472001
2014-12-21,1153.9307702439
2014-12-22,1390.4051004756
2014-12-23,1085.9521964247
2014-12-24,1292.0015910879001
2014-12-25,1583.0540752752001
2014-12-26,1675.0318053447002
2014-12-27,2508.7759586406
2014-12-28,1444.2303929031
2014-12-29,1007.8050738888
2014-12-30,1302.5733423813
2014-12-31,2033.9200083312
2015-01-01,1852.4020645152002
2015-01-02,2047.7767981473
2015-01-03,2076.8313301263
2015-01-04,385.48703005560003
2015-01-05,1515.7385192862002
2015-01-06,1304.0571714192001
2015-01-07,1267.1293380174
2015-01-08,361.78831594620004
2015-01-09,1555.5831626313
2015-01-10,1455.6478844655
2015-01-11,1853.4867611139
2015-01-12,2036.3238315387002
2015-01-13,738.0625660848
2015-01-14,2006.6427608337003
2015-01-15,1874.6506453158001
2015-01-16,2136.5471980116
2015-01-17,2525.0624690643
2015-01-18,2364.0114685077
2015-01-19,2365.6274192727
2015-01-20,2128.0445149194
2015-01-21,437.9002460217
2015-01-22,869.4493641108
2015-01-23,2412.4052998188004
2015-01-24,1538.1644272929
2015-01-25,1372.0290448392
2015-01-26,441.66613369230004
2015-01-27,1938.8234234259
2015-01-28,2756.4136915788004
2015-01-29,2758.1324009283003
2015-01-30,2488.0481916047997
2015-01-31,2612.8066366017
2015-02-01,1523.9057005359
2015-02-02,917.297950437
2015-02-03,2607.5065672557002
2015-02-04,2319.7495483305
2015-02-05,2436.8180568534
2015-02-06,2338.0897102002
2015-02-07,1332.4735647531002
2015-02-08,2875.4054096031
2015-02-09,3055.3581002868
2015-02-10,2391.9763258512003
2015-02-11,2964.6935925948
2015-02-12,3006.4031405991004
2015-02-13,2676.8482370388
2015-02-14,2917.8579431034
2015-02-15,2049.9570350622002
2015-02-16,1988.220649536
2015-02-17,2462.7006651753
2015-02-18,2314.3977840456
2015-02-19,1701.3262800006003
2015-02-20,2825.4296853486003
2015-02-21,2602.3176536643005
2015-02-22,1979.7487009641002
2015-02-23,1620.1353964752
2015-02-24,1259.1964970442
2015-02-25,3522.2724745362
2015-02-26,3459.5716566708
2015-02-27,3464.2704637431
2015-02-28,2119.1419350189
2015-03-01,509.6017989513
2015-03-02,3254.4397692279
2015-03-03,3096.6906628449
2015-03-04,3099.1057263837
2015-03-05,1783.8498766077
2015-03-06,3541.1033253222004
2015-03-07,2359.8449698626
2015-03-08,2819.3057074611
2015-03-09,3784.6318412331
2015-03-10,3831.1856282304
2015-03-11,3731.0640724764003
2015-03-12,3677.8588007832004
2015-03-13,3434.3972263557002
2015-03-14,2260.1116295406
2015-03-15,1551.0801317319
2015-03-16,3043.2929224896
2015-03-17,3310.9241831622003
2015-03-18,3691.5463315764
2015-03-19,3076.4868795936
2015-03-20,3793.0165716861
2015-03-21,3619.7424321399003
2015-03-22,3284.2699682463
2015-03-23,3941.8276975011004
2015-03-24,3620.3179956471004
2015-03-25,3714.8091197481003
2015-03-26,3319.5587736663
2015-03-27,3735.8153793675
2015-03-28,3498.1046760726
2015-03-29,3055.2586653303
2015-03-30,3884.6303643807
2015-03-31,3542.6549210877
2015-04-01,3062.685693573
2015-04-02,1909.3315700646
2015-04-03,3480.4631308986
2015-04-04,4214.8716171606
2015-04-05,3713.004628344
2015-04-06,3291.9478638651003
2015-04-07,4108.269007933201
2015-04-08,4323.7719377622
2015-04-09,4334.5319229234
2015-04-10,4114.8650934567
2015-04-11,3373.3318401585
2015-04-12,4151.7901781136
2015-04-13,4120.2116091972
2015-04-14,4232.098326951
2015-04-15,3951.1652870547005
2015-04-16,3888.2088896013
2015-04-17,3908.3821181262
2015-04-18,4199.4449497737005
2015-04-19,3371.9880521646
2015-04-20,4217.145782612401
2015-04-21,4320.1608169203
2015-04-22,4333.6668299265
2015-04-23,4606.7815855512
2015-04-24,4460.2021629
2015-04-25,4044.0091855086002
2015-04-26,3818.2758382593
2015-04-27,3828.0274144299
2015-04-28,4002.669030987
2015-04-29,4067.6873147955002
2015-04-30,3900.2451341931
2015-05-01,4514.1385808079
2015-05-02,4299.1221010716
2015-05-03,4009.1494975983
2015-05-04,4103.8939628478
2015-05-05,4413.106383651901
2015-05-06,4279.3157348667
2015-05-07,4208.2200618975
2015-05-08,4403.7557201088
2015-05-09,3378.3653656467
2015-05-10,3334.3457671359
2015-05-11,1855.6737518979
2015-05-12,4467.9205141065
2015-05-13,4575.002599252801
2015-05-14,4185.006044373
2015-05-15,4225.049406369
2015-05-16,4340.369530945801
2015-05-17,4273.9463727774
2015-05-18,4099.983849432901
2015-05-19,2950.9234234722003
2015-05-20,4590.0653502825
2015-05-21,4686.0384421026
2015-05-22,4802.216153852701
2015-05-23,4440.7444991778
2015-05-24,4470.5514681927
2015-05-25,4251.1330183905
2015-05-26,5215.932167499267
2015-05-27,4562.3006427537
2015-05-28,1784.7574024896
2015-05-29,4579.0304438043
2015-05-30,4280.8025806524
2015-05-31,4525.3287073566
2015-06-01,4324.7014819173
2015-06-02,4638.9891992004
2015-06-03,4500.2337224229
2015-06-04,4520.9016066555005
2015-06-05,4168.7060151033
2015-06-06,4589.7119385282
2015-06-07,4693.3151214807
2015-06-08,4559.1250399101
2015-06-09,4370.7912626763
2015-06-10,3044.0134728432004
2015-06-11,3948.1724871270003
2015-06-12,4416.0424697664
2015-06-13,4447.8398591847
2015-06-14,3135.6144544329
2015-06-15,3536.9815270779004
2015-06-16,3998.9270249775
2015-06-17,4366.3707174285
2015-06-18,4280.124933414
2015-06-19,4479.4643317380005
2015-06-20,4431.7781320824
2015-06-21,3852.2507826033
2015-06-22,4074.7223722986
2015-06-23,2800.2049331058
2015-06-24,1221.3666550701
2015-06-25,4630.3702684074005
2015-06-26,4195.8963900216
2015-06-27,4340.3553956169
2015-06-28,4429.2359864907
2015-06-29,4158.8788504626
2015-06-30,2556.2916223119
2015-07-01,4078.2496584357
2015-07-02,4335.0091074774
2015-07-03,4345.4310223896
2015-07-04,4422.5748602244
2015-07-05,4202.9568096813
2015-07-06,3899.2755937905004
2015-07-07,2121.4240361226002
2015-07-08,4281.2913537999
2015-07-09,3924.4418053137
2015-07-10,3587.1859456884
2015-07-11,3546.3054054681
2015-07-12,3061.1768005467
2015-07-13,4050.9000730242
2015-07-14,4284.3086606925
2015-07-15,4451.5861215507
2015-07-16,4255.098595011
2015-07-17,3961.0890903177
2015-07-18,3897.7598015136005
2015-07-19,4309.0941552021
2015-07-20,3974.3545314627004
2015-07-21,4450.4762558751
2015-07-22,4391.1109600677
2015-07-23,3148.6274662491
2015-07-24,3839.4560345922
2015-07-25,1705.2300937683
2015-07-26,3893.3053527555003
2015-07-27,3515.5827759591
2015-07-28,3711.6224877303002
2015-07-29,2719.1998917864003
2015-07-30,2045.4527840472
2015-07-31,936.0677382705001
2015-08-01,2531.3970080421
2015-08-02,2519.3600510265
2015-08-03,3931.1143853553003
2015-08-04,3477.9109045428004
2015-08-05,2924.0430696477
2015-08-06,4268.0295967419
2015-08-07,4236.802869024
2015-08-08,4151.9418248484
2015-08-09,4167.4094994015
2015-08-10,4124.04772626
2015-08-11,4026.2875833708003
2015-08-12,4106.3535215109005
2015-08-13,3343.5039993696
2015-08-14,3240.3835504062
2015-08-15,2657.3545315548004
2015-08-16,3289.1024793627
2015-08-17,4209.2344848906005
2015-08-18,4236.187755759301
2015-08-19,4232.4610351716
2015-08-20,4182.9716014713
2015-08-21,3742.3699344603
2015-08-22,3705.1350839712004
2015-08-23,3841.4200305195
2015-08-24,4060.8031983552005
2015-08-25,3553.2771180192003
2015-08-26,3893.4631633392
2015-08-27,3778.3875238362
2015-08-28,3879.0790409547003
2015-08-29,3813.6240300312
2015-08-30,3992.8855896963005
2015-08-31,3742.0747736427
2015-09-01,3578.8594081284
2015-09-02,3895.8786273033
2015-09-03,3827.2290448986005
2015-09-04,3957.7428907236003
2015-09-05,3955.5999546723
2015-09-06,3979.9355610663
2015-09-07,3988.2927331764004
2015-09-08,3861.1528278048
2015-09-09,4042.4980017708003
2015-09-10,3840.911343918
2015-09-11,3807.6925217859
2015-09-12,3685.2060281949
2015-09-13,3838.9038617160004
2015-09-14,3922.8890431203
2015-09-15,3607.2306718866002
2015-09-16,3501.5937584562002
2015-09-17,3704.6538599895002
2015-09-18,3487.1728337523
2015-09-19,3015.4464127656
2015-09-20,3312.2774257452
2015-09-21,815.8141029456001
2015-09-22,2560.0854747402004
2015-09-23,3515.2256922057
2015-09-24,3254.3922181518
2015-09-25,3545.1984908736003
2015-09-26,3421.2583402965
2015-09-27,3426.1405521750003
2015-09-28,3452.9438963844004
2015-09-29,3379.4458849503003
2015-09-30,3446.7056977518
2015-10-01,3514.4653026384003
2015-10-02,3589.8984672903002
2015-10-03,3105.1342095345003
2015-10-04,3283.6856266368004
2015-10-05,3112.6993603299
2015-10-06,3358.0671090318
2015-10-07,3154.7117170899
2015-10-08,3223.6885251549
2015-10-09,3296.6691714198
2015-10-10,3172.5680350617004
2015-10-11,2797.1102012535002
2015-10-12,2916.5833152126
2015-10-13,3072.4350823782
2015-10-14,2939.4411805143
2015-10-15,2908.0859880402
2015-10-16,2669.2388733879
2015-10-17,2766.0606012369
2015-10-18,2904.4421933868
2015-10-19,2344.3754308326
2015-10-20,3025.0315882116
2015-10-21,3098.6844835419
2015-10-22,2919.1449799314
2015-10-23,2794.7850581871003
2015-10-24,2271.6629866458
2015-10-25,953.9921850624
2015-10-26,2905.0632886374
2015-10-27,3058.9345280934
2015-10-28,3119.2752729996005
2015-10-29,3024.3597920613
2015-10-30,2867.738857335
2015-10-31,2543.930601003
2015-11-01,2319.7849346232
2015-11-02,2208.4010013087
2015-11-03,2210.3362548234
2015-11-04,2478.1845492756
2015-11-05,2431.2038166702
2015-11-06,2545.8698997171005
2015-11-07,2415.148111629
2015-11-08,2438.9933963175
2015-11-09,1742.905915641
2015-11-10,2270.2827835809003
2015-11-11,1690.2228150918002
2015-11-12,2108.7636551388
2015-11-13,1810.1139776379
2015-11-14,2219.4256803345
2015-11-15,2086.7696374536004
2015-11-16,2650.428752697
2015-11-17,2461.804762626
2015-11-18,2447.3890059894
2015-11-19,2566.3352870133003
2015-11-20,2394.8159605425003
2015-11-21,2297.8702632204004
2015-11-22,2146.4084789532003
2015-11-23,2061.4742868654002
2015-11-24,2126.5776631737
2015-11-25,2025.4239181539
2015-11-26,2276.5074238368
2015-11-27,2343.4480278693
2015-11-28,2406.3847541712003
2015-11-29,1873.7720922789001
2015-11-30,1999.4390561079001
2015-12-01,1922.4091590363003
2015-12-02,1561.7774274102
2015-12-03,2256.4310700294
2015-12-04,2211.663846447
2015-12-05,2059.3863205938
2015-12-06,1822.726025208
2015-12-07,1573.5062746359001
2015-12-08,1310.0250505221002
2015-12-09,1455.4811886219
2015-12-10,1314.4189646016
2015-12-11,2391.4723321863003
2015-12-12,2187.8782715196
2015-12-13,2287.6230559248
2015-12-14,2178.2107187775
2015-12-15,2275.720335801
2015-12-16,2191.2276708135
2015-12-17,2043.1664649197999
2015-12-18,2172.5557454205
2015-12-19,2138.7389691789
2015-12-20,1969.8805861119001
2015-12-21,2032.8701695335003
2015-12-22,1820.5344362304
2015-12-23,1551.9995103987
2015-12-24,2294.2405302795
2015-12-25,2127.8440671543
2015-12-26,1548.7519329315
2015-12-27,1622.2107937266
2015-12-28,1824.6072614913
2015-12-29,2046.4245712746
2015-12-30,2011.5678113586
2015-12-31,1936.9688460804
2016-01-01,2216.9388532203
2016-01-02,1963.7359503300002
2016-01-03,1804.9465453338
2016-01-04,1790.9427351816
2016-01-05,1715.9479687152
2016-01-06,1479.7197919053
2016-01-07,1763.2097388972002
